[EVENT] Type: Rock | Timestamp: Line-174 | Confidence: 0.7 | Bounds: [683.4, 700.7] @ [2362.8, 2366.6]
[EVENT] Type: Rock | Timestamp: Line-174 | Confidence: 0.7 | Bounds: [1062.6, 1107.8] @ [2354.1, 2389.0]
[EVENT] Type: Freespan | Timestamp: Line-174 | Confidence: 0.8552724562756384 | Bounds: [-280.5, 260.0] @ [2263.5, 2334.5]
[EVENT] Type: Rock | Timestamp: Line-178 | Confidence: 0.7 | Bounds: [618.2, 626.9] @ [2360.3, 2362.5]
[EVENT] Type: Rock | Timestamp: Line-178 | Confidence: 0.7 | Bounds: [636.7, 648.5] @ [2360.0, 2362.5]
[EVENT] Type: Rock | Timestamp: Line-178 | Confidence: 0.7 | Bounds: [864.7, 891.3] @ [2373.2, 2380.1]
[EVENT] Type: Rock | Timestamp: Line-178 | Confidence: 0.7 | Bounds: [989.1, 999.5] @ [2392.1, 2393.8]
[EVENT] Type: Rock | Timestamp: Line-178 | Confidence: 0.7 | Bounds: [1055.8, 1108.0] @ [2376.5, 2388.5]
[EVENT] Type: Freespan | Timestamp: Line-178 | Confidence: 0.83140706521315 | Bounds: [-280.7, 262.6] @ [2267.7, 2334.0]
[EVENT] Type: Rock | Timestamp: Line-186 | Confidence: 0.7 | Bounds: [-843.5, -759.0] @ [2269.8, 2290.4]
[EVENT] Type: Rock | Timestamp: Line-186 | Confidence: 0.7 | Bounds: [-696.4, -618.4] @ [2256.0, 2290.7]
[EVENT] Type: Rock | Timestamp: Line-186 | Confidence: 0.7 | Bounds: [-593.1, -581.5] @ [2265.5, 2288.1]
[EVENT] Type: Rock | Timestamp: Line-186 | Confidence: 0.7 | Bounds: [-567.9, -518.2] @ [2282.2, 2305.9]
[EVENT] Type: Rock | Timestamp: Line-186 | Confidence: 0.7 | Bounds: [-500.6, -447.0] @ [2309.1, 2323.8]
[EVENT] Type: Rock | Timestamp: Line-186 | Confidence: 0.7 | Bounds: [571.3, 580.4] @ [2346.8, 2349.5]
[EVENT] Type: Freespan | Timestamp: Line-186 | Confidence: 0.8771757525298245 | Bounds: [-277.4, 259.9] @ [2259.9, 2335.4]
[EVENT] Type: Rock | Timestamp: Line-190 | Confidence: 0.7 | Bounds: [-834.4, -802.8] @ [2286.3, 2292.7]
[EVENT] Type: Rock | Timestamp: Line-190 | Confidence: 0.7 | Bounds: [-687.1, -592.1] @ [2279.9, 2298.4]
[EVENT] Type: Rock | Timestamp: Line-190 | Confidence: 0.7 | Bounds: [-583.5, -575.2] @ [2294.8, 2300.5]
[EVENT] Type: Rock | Timestamp: Line-190 | Confidence: 0.7 | Bounds: [559.9, 567.0] @ [2340.3, 2343.0]
[EVENT] Type: Freespan | Timestamp: Line-190 | Confidence: 0.870481330864161 | Bounds: [-278.3, 260.8] @ [2260.9, 2335.0]
[EVENT] Type: Rock | Timestamp: Line-194 | Confidence: 0.7 | Bounds: [-779.6, -761.4] @ [2296.6, 2301.0]
[EVENT] Type: Rock | Timestamp: Line-194 | Confidence: 0.7 | Bounds: [556.8, 583.6] @ [2339.0, 2345.1]
[EVENT] Type: Rock | Timestamp: Line-194 | Confidence: 0.7 | Bounds: [861.4, 873.4] @ [2366.9, 2367.2]
